client_id,district_id,birth_day,gender
1,18,1970-11-13,Female
3,1,1940-10-09,Female
4,5,1956-12-01,Male
5,5,1960-07-03,Female
6,12,1919-09-22,Male
7,15,1929-01-25,Male
8,51,1938-02-21,Female
9,60,1935-10-16,Male
10,57,1943-05-01,Male
11,57,1950-08-22,Female
12,40,1981-02-20,Male
13,54,1974-05-29,Female
14,76,1942-06-22,Female
15,21,1918-08-28,Female
16,21,1919-02-25,Male
17,76,1934-10-13,Male
18,76,1931-04-05,Female
19,47,1942-12-28,Male
20,46,1979-01-04,Male
21,12,1952-10-29,Female
22,1,1969-10-11,Female
23,1,1973-05-29,Male
24,43,1939-07-29,Female
25,21,1939-04-23,Female
26,74,1969-04-20,Female
27,54,1966-03-26,Female
28,1,1945-09-29,Male
29,30,1951-09-11,Female
30,74,1957-10-09,Female
31,68,1962-02-09,Male
32,52,1980-07-28,Male
33,73,1948-12-04,Female
36,7,1978-07-17,Female
37,7,1970-08-10,Male
38,36,1973-07-23,Female
39,68,1968-01-25,Male
40,5,1957-01-22,Female
41,22,1968-08-27,Male
42,68,1935-08-17,Male
43,75,1920-10-28,Male
44,38,1977-01-11,Female
45,20,1952-08-26,Male
46,19,1940-01-30,Female
47,76,1934-07-14,Male
48,16,1940-02-09,Male
49,72,1959-05-11,Female
50,39,1978-07-30,Female
51,36,1979-12-02,Female
52,32,1924-12-12,Male
53,64,1977-05-05,Male
55,45,1948-09-18,Female
56,21,1960-03-31,Male
57,21,1961-12-17,Female
58,1,1927-04-29,Female
59,1,1957-02-18,Male
60,67,1980-02-19,Male
61,16,1948-08-06,Female
62,77,1932-12-08,Male
63,4,1959-06-04,Male
64,20,1926-04-22,Male
65,50,1943-05-27,Female
66,1,1951-11-10,Female
67,29,1932-11-11,Female
68,43,1946-12-14,Male
70,70,1925-12-22,Male
71,70,1927-02-06,Female
72,47,1923-01-13,Male
73,22,1924-02-20,Male
74,22,1925-07-26,Female
75,64,1977-09-19,Female
76,36,1967-10-01,Female
77,1,1956-02-18,Female
78,16,1944-06-13,Female
79,37,1969-03-10,Female
80,64,1979-02-25,Female
81,8,1976-04-29,Male
82,8,1979-12-25,Female
83,1,1978-12-25,Female
84,1,1979-05-05,Male
85,1,1961-08-27,Male
86,1,1969-07-20,Female
87,72,1946-11-17,Female
89,1,1951-05-05,Female
90,52,1975-08-17,Male
91,63,1940-08-07,Male
92,74,1966-06-12,Female
93,3,1925-02-16,Male
94,43,1947-09-09,Male
95,43,1952-08-03,Female
96,74,1972-02-29,Male
97,26,1965-11-28,Male
98,33,1973-05-04,Female
99,33,1973-01-26,Male
100,44,1942-08-11,Female
101,68,1943-01-23,Male
102,74,1958-09-10,Female
103,74,1955-07-11,Male
105,31,1980-05-26,Male
106,68,1968-12-30,Female
107,1,1972-06-23,Male
108,17,1963-09-13,Male
110,2,1967-04-13,Female
112,1,1935-01-25,Male
113,1,1940-08-15,Female
114,74,1969-06-24,Female
115,74,1969-12-24,Male
116,74,1942-01-28,Male
117,74,1936-09-20,Female
118,55,1922-07-19,Male
119,55,1922-02-28,Female
120,1,1976-05-10,Male
121,41,1978-10-29,Female
122,35,1963-11-13,Female
123,11,1969-02-12,Male
124,44,1967-09-21,Male
125,37,1936-10-31,Male
126,37,1929-09-27,Female
127,21,1950-12-27,Female
128,63,1973-04-04,Female
129,64,1947-05-31,Female
130,53,1942-02-14,Male
131,53,1977-01-31,Female
132,36,1953-01-26,Male
134,6,1932-01-18,Male
135,6,1938-09-10,Female
136,55,1921-01-26,Female
137,60,1923-09-14,Male
138,54,1972-10-21,Female
139,8,1959-07-25,Female
140,8,1961-06-06,Male
141,31,1925-11-02,Male
142,68,1937-06-21,Male
143,27,1978-07-09,Male
144,65,1958-12-06,Male
145,55,1978-02-14,Male
146,31,1961-12-19,Female
147,21,1933-11-02,Female
148,21,1940-12-25,Male
149,55,1948-06-27,Male
150,2,1980-09-27,Female
151,51,1971-09-23,Female
152,29,1945-12-02,Female
153,13,1981-02-12,Female
154,74,1933-08-27,Male
155,74,1939-03-13,Female
156,54,1930-07-22,Female
157,52,1943-07-09,Female
158,40,1945-07-03,Female
159,40,1938-09-10,Male
160,64,1942-04-26,Female
161,34,1943-10-07,Female
162,65,1941-10-17,Male
163,74,1933-06-12,Male
164,70,1962-04-04,Female
165,22,1968-11-08,Male
166,22,1961-10-22,Female
167,38,1978-04-18,Female
168,24,1976-11-05,Female
169,38,1953-09-12,Male
170,38,1946-06-16,Female
171,51,1929-06-25,Male
172,51,1935-10-05,Female
173,21,1918-12-08,Female
174,10,1978-11-10,Male
175,31,1960-07-13,Male
176,4,1929-03-11,Male
178,8,1960-12-22,Male
179,43,1980-12-29,Male
180,73,1982-01-19,Male
181,76,1967-07-06,Male
182,76,1959-07-13,Female
183,1,1978-03-19,Female
184,1,1972-06-05,Male
185,77,1954-05-30,Male
186,46,1961-02-22,Female
187,58,1942-08-23,Male
188,64,1960-09-02,Male
189,11,1919-08-10,Male
190,37,1947-10-31,Female
191,37,1954-09-03,Male
192,70,1971-02-28,Male
193,1,1962-05-01,Male
194,28,1924-12-20,Female
195,74,1919-11-18,Male
196,74,1927-06-25,Female
197,30,1933-04-25,Male
198,60,1976-07-14,Male
199,29,1923-06-21,Male
200,29,1928-01-13,Female
201,17,1930-08-19,Female
202,29,1976-11-21,Female
203,31,1962-06-10,Male
204,31,1967-06-17,Female
205,4,1942-06-15,Female
206,59,1963-04-13,Female
207,46,1932-05-20,Male
208,13,1940-06-25,Female
209,13,1935-08-20,Male
210,66,1939-11-30,Male
211,66,1945-06-28,Female
212,52,1975-02-10,Male
215,71,1967-09-24,Male
216,1,1960-01-30,Male
217,59,1974-12-22,Female
218,1,1980-01-23,Female
219,60,1964-04-02,Female
221,21,1977-02-25,Female
222,47,1972-06-29,Female
223,43,1952-02-27,Female
224,77,1955-05-11,Male
225,32,1936-05-10,Male
226,1,1942-06-16,Male
227,52,1926-12-18,Female
228,48,1956-03-16,Female
229,76,1969-07-22,Male
230,74,1967-03-10,Female
231,41,1941-02-18,Male
232,55,1921-06-17,Female
233,69,1958-12-03,Female
234,69,1955-06-21,Male
235,44,1943-08-28,Female
236,70,1961-09-01,Male
237,70,1969-02-22,Female
238,6,1961-11-28,Female
239,1,1974-09-10,Female
240,34,1929-06-17,Female
241,70,1959-01-23,Male
242,17,1961-08-01,Female
243,63,1954-02-10,Male
246,67,1970-12-28,Female
247,1,1957-05-08,Male
248,61,1969-12-12,Female
249,61,1970-05-05,Male
250,8,1979-11-25,Female
251,54,1976-03-03,Female
252,37,1969-09-01,Female
253,48,1947-05-12,Female
254,28,1963-05-30,Male
255,27,1951-10-11,Female
256,73,1963-02-27,Female
257,22,1942-11-04,Female
258,22,1937-05-31,Male
259,31,1966-06-08,Male
260,31,1962-02-24,Female
261,38,1937-12-07,Female
262,77,1945-11-25,Male
263,68,1962-05-20,Male
264,28,1978-08-22,Male
265,72,1933-01-07,Female
266,19,1967-08-28,Female
267,37,1967-06-12,Male
268,39,1982-05-02,Female
269,15,1923-12-03,Female
270,46,1947-03-08,Male
271,46,1945-07-27,Female
272,70,1944-10-25,Female
273,27,1972-05-15,Female
274,17,1970-11-25,Female
275,1,1918-11-12,Female
276,1,1957-06-11,Male
277,1,1961-11-28,Female
278,22,1972-12-27,Female
279,22,1970-05-16,Male
280,45,1969-12-18,Female
282,73,1938-02-24,Female
283,73,1933-11-04,Male
284,10,1974-08-06,Male
285,72,1954-06-03,Male
286,72,1952-04-18,Female
287,50,1980-09-09,Male
288,6,1962-04-21,Male
289,54,1958-03-27,Male
290,72,1959-01-12,Male
291,72,1955-04-27,Female
292,15,1958-09-06,Female
293,69,1943-09-27,Male
294,58,1968-03-21,Male
295,12,1939-03-27,Male
296,65,1974-03-01,Male
297,65,1924-03-15,Female
